Age,AIA 友邦,Blue 微藍,Bowtie 保泰,FWD 富衛人壽,Well Link Life 立橋人壽,ZA Life 眾安人壽,Zurich 蘇黎世
18,1000,300,288,370,310,320,651
19,1000,300,288,370,310,320,651
20,1000,310,300,370,320,320,651
21,1000,310,300,370,320,320,651
22,1000,310,312,370,320,320,651
23,1000,320,312,370,330,320,651
24,1000,330,324,370,340,320,651
25,1000,340,324,370,350,330,651
26,1000,350,324,370,360,350,651
27,1000,370,324,380,380,370,661
28,1000,380,336,390,390,390,661
29,1010,390,336,400,410,400,661
30,1010,390,348,410,430,410,671
31,1040,420,372,420,450,410,680
32,1040,440,384,430,480,430,700
33,1090,460,420,440,510,450,719
34,1100,490,456,450,550,470,778
35,1140,530,480,460,580,500,826
36,1180,550,504,490,620,540,836
37,1220,580,528,520,670,580,846
38,1270,620,540,560,730,620,855
39,1330,670,564,600,780,660,865
40,1370,710,576,640,840,680,914
41,1430,770,636,680,910,730,972
42,1510,830,696,730,970,770,1030
43,1590,900,756,780,1040,820,1098
44,1680,980,828,830,1100,870,1186
45,1840,1050,900,890,1170,940,1273
46,1960,1160,984,990,1290,1030,1361
47,2100,1240,1068,1090,1410,1130,1468
48,2240,1340,1152,1200,1540,1240,1575
49,2420,1450,1248,1320,1690,1360,1701
50,2620,1570,1356,1450,1860,1490,1837
51,2810,1690,1464,1600,2010,1620,1993
52,3030,1830,1596,1760,2170,1740,2177
53,3270,1980,1728,1930,2340,1880,2372
54,3540,2140,1872,2120,2530,2030,2586
55,3940,2310,2040,2330,2750,2200,2829
56,4300,2600,2220,2570,2970,2440,3081
57,4640,2940,2412,2820,3210,2670,3373
58,5060,3220,2616,3100,3460,2940,3703
59,5530,3610,2844,3410,3760,3270,4082
60,6050,3920,3096,3760,4100,3680,4510
61,6710,4300,3480,4130,4450,4170,5417
62,7430,4690,3936,4550,4850,4630,5915
63,8230,5180,4500,5000,5410,5150,6459
64,9110,5830,5196,5500,6130,5720,7052
65,10090,6620,6036,6060,6920,6350,7700
