Age,AIA 友邦,Blue 微藍,Bowtie 保泰,FWD 富衛人壽,Well Link Life 立橋人壽,ZA Life 眾安人壽,Zurich 蘇黎世
18,1000,480,444,540,470,560,729
19,1000,520,516,540,520,590,729
20,1000,520,552,540,590,600,729
21,1000,520,588,540,600,600,729
22,1000,520,600,540,600,600,729
23,1000,520,588,540,600,600,729
24,1000,520,576,540,600,600,729
25,1000,520,564,540,600,600,729
26,1000,530,528,540,600,600,729
27,1000,540,492,550,600,600,739
28,1000,540,480,560,600,600,749
29,1010,550,456,570,600,600,778
30,1020,580,456,580,600,600,797
31,1060,580,480,590,600,600,826
32,1090,580,504,600,600,600,846
33,1130,610,540,610,640,620,875
34,1180,650,588,620,680,650,914
35,1240,700,636,630,720,650,962
36,1280,760,672,650,780,680,1001
37,1340,810,708,660,840,730,1050
38,1410,870,744,700,910,800,1108
39,1480,960,780,770,980,870,1166
40,1570,1040,816,830,1060,960,1254
41,1720,1140,900,910,1150,1050,1351
42,1830,1220,984,1000,1250,1140,1448
43,1970,1320,1080,1100,1360,1220,1565
44,2110,1430,1188,1200,1490,1310,1691
45,2280,1530,1296,1310,1620,1380,1837
46,2480,1670,1380,1450,1770,1500,1993
47,2680,1830,1476,1630,1920,1640,2177
48,2910,1990,1584,1820,2100,1780,2381
49,3160,2190,1692,2040,2300,1960,2595
50,3440,2390,1824,2200,2560,2160,2838
51,3830,2720,2004,2370,2840,2460,3101
52,4180,3000,2208,2570,3140,2700,3383
53,4510,3310,2448,2780,3460,3070,3684
54,4920,3680,2712,3040,3830,3390,4034
55,5380,4050,3012,3350,4210,3840,4413
56,5890,4460,3420,3660,4670,4320,4831
57,6450,4910,3888,3990,5210,4790,5288
58,7050,5330,4404,4350,5780,5330,5793
59,7710,5770,5004,4790,6410,5830,6367
60,8440,6380,5664,5260,7130,6560,6998
61,9250,7380,6396,5790,7890,7290,8532
62,10190,8390,7224,6360,8750,8080,9455
63,11240,9270,8136,7000,9630,8920,10478
64,12450,10230,9156,7700,10640,9830,11613
65,13780,11270,10272,8460,11720,10810,12870
